IBOV - Carteira do Dia 30/10/24
C�digo;A��o;Tipo;Qtde. Te�rica;Part. (%)
ALOS3;ALLOS;ON  ED  NM;502.481.592;0,514;
ALPA4;ALPARGATAS;PN      N1;166.460.180;0,055;
ABEV3;AMBEV S/A;ON;4.394.835.131;2,649;
ASAI3;ASSAI;ON      NM;1.349.687.675;0,473;
AURE3;AUREN;ON      NM;291.727.616;0,140;
AZUL4;AZUL;PN      N2;328.421.113;0,089;
AZZA3;AZZAS 2154;ON      NM;127.330.493;0,237;
B3SA3;B3;ON      NM;5.511.401.013;2,772;
BBSE3;BBSEGURIDADE;ON      NM;637.332.335;1,021;
BBDC3;BRADESCO;ON      N1;1.484.426.957;0,906;
BBDC4;BRADESCO;PN      N1;5.129.958.973;3,569;
BRAP4;BRADESPAR;PN      N1;250.969.312;0,230;
BBAS3;BRASIL;ON      NM;2.842.613.858;3,454;
BRKM5;BRASKEM;PNA     N1;265.388.400;0,220;
BRAV3;BRAVA;ON      NM;463.981.130;0,367;
BRFS3;BRF SA;ON      NM;814.523.002;0,965;
BPAC11;BTGP BANCO;UNT     N2;1.287.247.964;1,970;
CXSE3;CAIXA SEGURI;ON      NM;517.500.000;0,348;
CRFB3;CARREFOUR BR;ON      NM;531.901.983;0,179;
CCRO3;CCR SA;ON      NM;991.920.937;0,562;
CMIG4;CEMIG;PN      N1;1.858.636.840;0,981;
COGN3;COGNA ON;ON      NM;1.872.454.628;0,123;
CPLE6;COPEL;PNB     N2;1.679.233.590;0,771;
CSAN3;COSAN;ON      NM;1.165.337.843;0,654;
CPFE3;CPFL ENERGIA;ON      NM;187.732.538;0,284;
CMIN3;CSNMINERACAO;ON      N2;1.110.559.345;0,310;
CVCB3;CVC BRASIL;ON      NM;525.591.097;0,051;
CYRE3;CYRELA REALT;ON      NM;264.710.610;0,261;
ELET3;ELETROBRAS;ON      N1;1.780.013.881;3,145;
IRBR3;IRBBRASIL RE;ON      NM;81.838.243;0,167;
ITSA4;ITAUSA;PN      N1;5.504.638.590;2,735;
ITUB4;ITAUUNIBANCO;PN      N1;4.455.161.368;7,313;
JBSS3;JBS;ON      NM;1.142.696.472;1,931;
KLBN11;KLABIN S/A;UNT     N2;765.785.673;0,731;
RENT3;LOCALIZA;ON      NM;977.700.485;1,914;
LREN3;LOJAS RENNER;ON      NM;952.487.418;0,818;
