iShares S&P 100 ETF
Fund Holdings as of,"Nov 06, 2024"
Inception Date,"Oct 23, 2000"
Shares Outstanding,"50,550,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"NVDA","NVIDIA CORP","Information Technology","Equity","1,486,780,900.66","10.27","1,486,780,900.66","10,210,706.00","145.61","United States","NASDAQ","USD","1.00","USD","-"
"AAPL","APPLE INC","Information Technology","Equity","1,405,534,248.96","9.71","1,405,534,248.96","6,310,768.00","222.72","United States","NASDAQ","USD","1.00","USD","-"
"MSFT","MICROSOFT CORP","Information Technology","Equity","1,296,351,521.22","8.95","1,296,351,521.22","3,085,229.00","420.18","United States","NASDAQ","USD","1.00","USD","-"
"AMZN","AMAZON COM INC","Consumer Discretionary","Equity","802,925,206.20","5.55","802,925,206.20","3,877,180.00","207.09","United States","NASDAQ","USD","1.00","USD","-"
"META","META PLATFORMS INC CLASS A","Communication","Equity","518,742,376.65","3.58","518,742,376.65","906,813.00","572.05","United States","NASDAQ","USD","1.00","USD","-"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","429,252,550.88","2.97","429,252,550.88","2,431,888.00","176.51","United States","NASDAQ","USD","1.00","USD","-"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Financials","Equity","356,511,703.50","2.46","356,511,703.50","760,315.00","468.90","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GOOG","ALPHABET INC CLASS C","Communication","Equity","355,522,076.27","2.46","355,522,076.27","1,993,619.00","178.33","United States","NASDAQ","USD","1.00","USD","-"
"AVGO","BROADCOM INC","Information Technology","Equity","346,907,836.80","2.40","346,907,836.80","1,932,096.00","179.55","United States","NASDAQ","USD","1.00","USD","-"
"TSLA","TESLA INC","Consumer Discretionary","Equity","332,285,574.50","2.30","332,285,574.50","1,151,650.00","288.53","United States","NASDAQ","USD","1.00","USD","-"
"JPM","JPMORGAN CHASE & CO","Financials","Equity","291,763,530.52","2.02","291,763,530.52","1,180,942.00","247.06","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
