Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
AAPL,"Apple Inc",227.03,-3.07,-1.33%,229.83,226.4,22571694,"13:55 ET"
ABBV,"Abbvie Inc",202.19,0.69,+0.34%,207.32,201.42,4425926,"13:54 ET"
ABT,"Abbott Laboratories",113.86,-0.59,-0.52%,114.47,113.27,1631840,"13:54 ET"
ACN,"Accenture Plc",346.64,0.069999999999993,+0.02%,347.86,342.62,1262430,"13:54 ET"
ADBE,"Adobe Systems Inc",478.57,-8.11,-1.67%,486.05,477.38,1264347,"13:55 ET"
AIG,"American International Group",76.42,-0.42,-0.55%,77.36,76.18,1356514,"13:55 ET"
AMD,"Adv Micro Devices",144,-4.6,-3.10%,148.68,143.33,28784104,"13:55 ET"
AMGN,"Amgen Inc",322,6.46,+2.05%,323.4,315.65,1093776,"13:54 ET"
AMT,"American Tower Corp",215.48,2,+0.94%,215.56,209.7,779514,"13:54 ET"
AMZN,"Amazon.com Inc",185.87,-6.86,-3.56%,190.6,185.56,27817529,"13:55 ET"
AVGO,"Broadcom Ltd",168.14,-8.5,-4.81%,174.45,167.38,11698322,"13:55 ET"
AXP,"American Express Company",270.96,-3.12,-1.14%,274.08,268.64,858741,"13:55 ET"
BA,"Boeing Company",148.77,-5.52,-3.58%,154.48,147.88,14693305,"13:55 ET"
BAC,"Bank of America Corp",41.87,-0.44,-1.04%,42.55,41.87,12708443,"13:55 ET"
BK,"Bank of New York Mellon Corp",75.44,-0.49,-0.65%,76.21,75.03,1106223,"13:55 ET"
BKNG,"Booking Holdings Inc",4680.45,216.52,+4.85%,4856.6001,4655.4102,327721,"13:55 ET"
BLK,"Blackrock Inc",981.27,1.4,+0.14%,982.902,969.54,198520,"13:52 ET"
BMY,"Bristol-Myers Squibb Company",54.75,2.09,+3.97%,56.2,53.56,10230123,"13:55 ET"
BRK.B,"Berkshire Hathaway Cl B",453.04,-1.92,-0.42%,456.84,453.3601,1341258,"13:55 ET"
C,"Citigroup Inc",64.22,-0.28,-0.43%,65.02,64.0901,4553587,"13:55 ET"
CAT,"Caterpillar Inc",377.67,-1.57,-0.41%,378.9132,372.75,1080958,"13:54 ET"
CHTR,"Charter Communications Inc",328.3,-3.,-0.91%,351.36,328.76,1122389,"13:54 ET"
CL,"Colgate-Palmolive Company",94.14,-0.52,-0.55%,95.3,94.14,1818039,"13:55 ET"
CMCSA,"Comcast Corp A",43.38,1.14,+2.70%,45.31,42.835,18250881,"13:55 ET"
COF,"Capital One Financial Corp",164.3,-2.47,-1.48%,167.04,163.33,1246451,"13:55 ET"
COP,Conocophillips,108.96,5.98,+5.81%,109.96,106.0001,5902371,"13:55 ET"
COST,"Costco Wholesale",872.72,-6.37,-0.72%,877.65,868.65,724212,"13:55 ET"
